depth,expected_energy,model_version,parameter_index,restart,round,seed,stage,step,value
2,-0.23231949306355898,base,3,,2,19,coordinate_descent,0.15,-0.1143576565792956
2,-0.23231949306355898,base,3,,2,19,coordinate_descent,0.15,-0.1574733682433459
2,-0.23231949306355898,base,0,,3,19,coordinate_descent,0.075,-0.22648009116223433
2,-0.23231949306355898,base,0,,3,19,coordinate_descent,0.075,-0.22938340588636336
2,-0.23231949306355898,base,1,,3,19,coordinate_descent,0.075,-0.2304805790397814
2,-0.23231949306355898,base,1,,3,19,coordinate_descent,0.075,-0.22938340588636336
2,-0.23231949306355898,base,2,,3,19,coordinate_descent,0.075,-0.23170100156250323
2,-0.23231949306355898,base,2,,3,19,coordinate_descent,0.075,-0.2304805790397814
2,-0.23231949306355898,base,3,,3,19,coordinate_descent,0.075,-0.20169836536890512
2,-0.23231949306355898,base,3,,3,19,coordinate_descent,0.075,-0.2105769566917312
2,-0.23231949306355898,base,0,,4,19,coordinate_descent,0.0375,-0.23111707752317806
2,-0.23231949306355898,base,0,,4,19,coordinate_descent,0.0375,-0.23211678582554449
2,-0.23231949306355898,base,1,,4,19,coordinate_descent,0.0375,-0.2322383725491774
2,-0.23231949306355898,base,1,,4,19,coordinate_descent,0.0375,-0.23211678582554449
2,-0.23231949306355898,base,2,,4,19,coordinate_descent,0.0375,-0.23077869821387806
2,-0.23231949306355898,base,2,,4,19,coordinate_descent,0.0375,-0.23231949306355898
2,-0.23231949306355898,base,3,,4,19,coordinate_descent,0.0375,-0.22535938040933645
2,-0.23231949306355898,base,3,,4,19,coordinate_descent,0.0375,-0.22681602600163542
3,-0.21159086941894273,base,,0,,7,restart,,0.9808290592787701
3,-0.21159086941894273,base,,1,,7,restart,,0.7313033077537581
3,-0.21159086941894273,base,,2,,7,restart,,0.1883336299180141
3,-0.21159086941894273,base,,3,,7,restart,,0.44631434218471266
3,-0.21159086941894273,base,,4,,7,restart,,-0.13692838498615373
3,-0.21159086941894273,base,,5,,7,restart,,0.26631180666513976
3,-0.21159086941894273,base,,6,,7,restart,,-0.12061250499050621
3,-0.21159086941894273,base,,7,,7,restart,,0.5980227241385133
3,-0.21159086941894273,base,,8,,7,restart,,0.3549087083970016
3,-0.21159086941894273,base,,9,,7,restart,,0.007147542227969308
